,Name of book,Year of relase,Price,Category,Rating
0,Грокаем алгоритмы,2022,6 571,"Питер, Прогресс книга, Библиотека программиста",4.7
1,"Чистый код. Создание, анализ и рефакторинг",2019,4 951,Питер,3.0
2,Java. Руководство для начинающих,2019,26 728,"Вильямс, Диалектика / Вильямс",4.0
3,System Design. Подготовка к сложному интервью,2022,7 666,"Прогресс книга, Питер, Библиотека программиста",4.5
4,Разработка требований,2021,12 296,"БХВ-Петербург, BHV",4.7
5,Дизайн. Книга для недизайнеров,2019,7 329,"Прогресс книга, Современный дизайн",3.9
6,Философия Java,2019,18 828,"Прогресс книга, Питер, Классика Computer Science",5.0
7,Swift. Основы разработки приложений под iOS,2021,10 739,"Питер, Прогресс книга, Библиотека программиста",4.2
8,Глубокое обучение. Легкая разработка проектов на Python,2021,15 778,"Питер, Прогресс книга, Бестселлеры O`Reilly",3.6
9,Визуальные эффекты. Взгляд изнутри,2021,8 719,ДМК Пресс,3.4
10,Основы цифрового рисунка в Photoshop,2022,20 051,"Питер Класс, Рисование для профессионалов",4.9
11,Unity в действии. Мультиплатформенная разработка на C#,2018,8 094,"Питер, Для профессионалов",3.7
12,Паттерны проектирования,2022,5 593,"Прогресс книга, Питер, Библиотека программиста",4.4
13,Бесплатная защита компьютера от хакеров,2013,903,"Мартин, Все об Интернете",4.0
14,JavaScript. Полное руководство,2020,25 647,Вильямс,4.9
15,Дизайн персонажей-животных,2022,14 620,"Питер Класс, Компьютерная графика и мультимедиа",3.2
16,Python. Чистый код для продолжающих,2022,12 306,"Питер, Прогресс книга, Библиотека программиста",4.1
17,Python глазами хакера,2022,3 356,BHV,4.7
18,Предиктивное моделирование на практике,2019,14 851,"Питер, Для профессионалов",4.6
19,XSLT,2018,11 330,Символ-Плюс,3.3
20,Разработка обслуживаемых программ на языке Java,2017,6 664,ДМК Пресс,3.2
21,Вскрытие покажет!,2023,14 350,"Прогресс книга, Питер, Для профессионалов",3.8
22,Вторжение. Краткая история русских хакеров,2019,2 947,Индивидуум паблишинг,3.1
23,Python и анализ данных. Второе издание,2019,17 390,ДМК Пресс,4.7
24,Цветокоррекция. Кинопроизводство и видео,2019,19 706,ДМК Пресс,3.8
